,,id,id,id,id,id,id,id,id,host_id,host_id,host_id,host_id,host_id,host_id,host_id,host_id,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,price,price,price,price,price,price,price,price,minimum_nights,minimum_nights,minimum_nights,minimum_nights,minimum_nights,minimum_nights,minimum_nights,minimum_nights,number_of_reviews,number_of_reviews,number_of_reviews,number_of_reviews,number_of_reviews,number_of_reviews,number_of_reviews,number_of_reviews,reviews_per_month,reviews_per_month,reviews_per_month,reviews_per_month,reviews_per_month,reviews_per_month,reviews_per_month,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count,calculated_host_listings_count,calculated_host_listings_count,calculated_host_listings_count,calculated_host_listings_count,calculated_host_listings_count,calculated_host_listings_count,availability_365,availability_365,availability_365,availability_365,availability_365,availability_365,availability_365,availability_365
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
neighbourhood_group,room_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Entire home/apt,272.0,22120754.37867647,10002386.96725639,63610.0,14348426.25,23641347.0,30966280.5,36442252.0,272.0,106935343.12867647,89835468.27324457,120623.0,16851857.0,98286716.5,188940804.25,273841667.0,272.0,40.84943544117652,0.027359341365468696,40.801429999999996,40.8265825,40.850125000000006,40.87167,40.90406,272.0,-73.87713625,0.03668296418178876,-73.93099000000001,-73.9104625,-73.86945,-73.848405,-73.78414000000001,272.0,122.01470588235294,78.33172768129648,35.0,80.0,100.0,132.75,670.0,272.0,5.963235294117647,18.16423966970211,1.0,2.0,2.0,3.0,186.0,272.0,41.0735294117647,48.74417476453104,1.0,7.0,25.0,58.0,271.0,272.0,2.4462132352941177,1.819312752561334,0.04,0.975,2.23,3.42,10.34,272.0,1.9264705882352942,2.029786868062522,1.0,1.0,1.0,2.0,13.0,272.0,191.20220588235293,124.35486477673531,1.0,74.75,178.5,319.5,365.0
Bronx,Private room,445.0,21220736.249438204,10284937.363543458,44096.0,15100883.0,22054258.0,29730616.0,36108811.0,445.0,100492048.35505618,82775960.18228073,12221.0,19789539.0,87370616.0,170942459.0,271616449.0,445.0,40.84818022471911,0.026068828749712166,40.80011,40.828309999999995,40.84572,40.868140000000004,40.913059999999994,445.0,-73.88516226966296,0.03142799063753079,-73.93184000000001,-73.91023,-73.89115,-73.86121,-73.78158,445.0,57.35730337078652,25.248770765014388,22.0,40.0,50.0,68.0,300.0,445.0,3.256179775280899,5.234758120507627,1.0,1.0,2.0,3.0,30.0,445.0,33.53258426966292,45.625699489345855,1.0,5.0,17.0,40.0,321.0,445.0,1.7878202247191033,1.556114636008816,0.03,0.58,1.39,2.56,8.37,445.0,2.4089887640449437,1.9645300912949184,1.0,1.0,2.0,3.0,13.0,445.0,204.1752808988764,124.60062621935933,1.0,81.0,188.0,332.0,365.0
Bronx,Shared room,37.0,26408471.72972973,9874672.231180748,2392296.0,20330081.0,30120067.0,34446898.0,35546298.0,37.0,100217291.4054054,88335583.18474704,295128.0,26947215.0,69711528.0,174785358.0,264182618.0,37.0,40.83788378378379,0.028520718332015364,40.80816,40.80952,40.840340000000005,40.856609999999996,40.894659999999995,37.0,-73.89782405405404,0.03134844187687947,-73.9319,-73.93061,-73.89746,-73.87127,-73.83006999999999,37.0,58.648648648648646,127.63603118420933,20.0,28.0,28.0,49.0,800.0,37.0,2.2162162162162162,2.991981275334447,1.0,1.0,1.0,2.0,14.0,37.0,10.702702702702704,19.209177298689614,1.0,2.0,5.0,10.0,116.0,37.0,1.4694594594594597,1.408395355529646,0.04,0.48,0.94,2.0,6.82,37.0,4.27027027027027,3.279978392956005,1.0,1.0,4.0,7.0,13.0,37.0,181.78378378378378,135.48352403626532,5.0,73.0,139.0,340.0,365.0
Brooklyn,Entire home/apt,5418.0,17505076.08084164,11300917.857316915,3831.0,6717538.0,18397640.0,27679147.0,36413632.0,5418.0,56034406.019748986,74263711.07512552,2571.0,4035643.25,18929331.5,82292540.5,272327753.0,5418.0,40.68314399040227,0.02731337284464418,40.57115,40.6713125,40.684685,40.7004075,40.7389,5418.0,-73.95317185677361,0.02674657971271053,-74.03941999999999,-73.96692,-73.953735,-73.9380725,-73.85676,5418.0,176.7168696936139,123.99621829771321,11.0,110.0,150.0,200.0,2500.0,5418.0,6.44499815430048,16.354234205667,1.0,2.0,3.0,4.0,370.0,5418.0,43.97471391657438,55.974119022398,1.0,6.0,21.0,62.0,488.0,5418.0,1.7735031376891812,1.6055893068962426,0.01,0.45,1.29,2.7175000000000002,13.33,5418.0,2.147286821705426,5.384778544172527,1.0,1.0,1.0,2.0,87.0,5418.0,153.85086747877446,119.49310939891035,1.0,37.0,137.0,264.0,365.0
Brooklyn,Private room,5006.0,19462933.76927687,11012562.045398027,2539.0,9616100.0,21166734.0,29104812.0,36455809.0,5006.0,70053589.48701558,79840361.29948789,2787.0,6762657.0,31304940.0,119669058.0,272314085.0,5006.0,40.68192567119449,0.02787054021591673,40.5721,40.66825,40.686745,40.70044,40.738609999999994,5006.0,-73.94598749500638,0.026992650089211808,-74.03538,-73.9599675,-73.9463,-73.92806,-73.86278,5006.0,75.04194966040751,52.82561209130876,20.0,50.0,65.0,85.0,1100.0,5006.0,5.19836196564123,19.195102327424138,1.0,1.0,2.0,3.0,999.0,5006.0,36.265880942868556,51.38650065963788,1.0,5.0,16.0,45.0,426.0,5006.0,1.7138473831402319,1.6556884235037774,0.01,0.45,1.14,2.5,14.0,5006.0,3.133439872153416,4.85837098875903,1.0,1.0,2.0,3.0,103.0,5006.0,170.67538953256093,126.34074686054704,1.0,55.0,154.0,304.0,365.0
Brooklyn,Shared room,223.0,22761685.677130044,9451504.315746427,737126.0,16300637.0,26388933.0,30132795.0,36001142.0,223.0,109094639.84304933,80034620.35092,2787.0,29799351.5,119669058.0,178543960.0,267872829.0,223.0,40.66842816143497,0.03659700559713216,40.57607,40.644980000000004,40.679390000000005,40.694024999999996,40.72483,223.0,-73.94665385650227,0.02890546261252634,-74.03296,-73.959475,-73.9488,-73.93284,-73.87077,223.0,44.99103139013453,39.43245919443309,15.0,29.0,35.0,44.5,400.0,223.0,6.304932735426009,9.875637640262099,1.0,1.0,2.0,4.0,31.0,223.0,21.251121076233183,34.701295327208975,1.0,2.5,8.0,22.5,236.0,223.0,1.2095964125560543,1.1870226658983574,0.04,0.26,0.82,1.68,6.54,223.0,7.466367713004484,8.993365361801143,1.0,2.0,4.0,8.0,34.0,223.0,222.22869955156952,135.65588646640404,1.0,85.0,288.0,353.5,365.0
Manhattan,Entire home/apt,6524.0,19073811.35959534,11597315.678293189,2595.0,8856659.75,20328313.0,30157884.75,36411407.0,6524.0,72818633.8018087,84700567.14351726,2845.0,7089870.0,29592785.0,120762452.0,273361532.0,6524.0,40.75834138105443,0.03467505443853406,40.70234,40.729820000000004,40.754175000000004,40.77878,40.87665,6524.0,-73.97821475168583,0.02135808769087465,-74.01801,-73.9943,-73.98338000000001,-73.9614875,-73.90855,6524.0,246.47486204782342,219.43388511518248,16.0,149.0,197.0,269.25,3900.0,6524.0,10.4546290619252,27.463709473881202,1.0,2.0,3.0,7.0,1250.0,6524.0,30.760882893930106,47.02538607015792,1.0,4.0,11.0,36.0,447.0,6524.0,1.5332158185162492,1.5584354849768844,0.01,0.32,1.0,2.34,14.0,6524.0,18.34288779889638,60.095631234333176,1.0,1.0,1.0,2.0,327.0,6524.0,169.30947271612507,123.29048479775628,1.0,45.0,169.0,282.0,365.0
Manhattan,Private room,4012.0,18944774.769441675,11377050.98103608,5178.0,8510495.0,20117535.5,29591225.75,36425863.0,4012.0,72641783.58948156,81849919.16078968,3867.0,7580038.0,33090483.5,128056814.25,272241217.0,4012.0,40.778811889331905,0.04191168667864649,40.70395,40.7454575,40.776785000000004,40.81245,40.87621,4012.0,-73.96719536640079,0.02311865143059668,-74.01775,-73.98873,-73.964905,-73.946085,-73.90997,4012.0,112.24227318045862,98.96598857011243,12.0,70.0,90.0,120.0,1599.0,4012.0,5.2310568295114654,16.343794651634923,1.0,1.0,2.0,4.0,365.0,4012.0,45.51345962113659,63.293407365233534,1.0,5.0,20.0,60.0,607.0,4012.0,1.9796036889331974,2.065104612495412,0.01,0.55,1.37,2.93,58.5,4012.0,4.206131605184447,16.50125241095406,1.0,1.0,2.0,3.0,327.0,4012.0,164.11640079760718,123.40701806183024,1.0,50.0,145.0,283.0,365.0
Manhattan,Shared room,267.0,23117413.64044944,10772223.435028777,12048.0,15583154.0,26252069.0,32724351.0,36140801.0,267.0,121145093.3670412,99810102.82362649,2845.0,20709864.0,122374980.0,215865348.5,271393608.0,267.0,40.77241082397003,0.03384988746323113,40.70538,40.756475,40.76578,40.798785,40.86761,267.0,-73.97156617977534,0.020769800092377978,-74.01623000000001,-73.98852,-73.9807,-73.951385,-73.92718,267.0,75.40449438202248,59.716885768516164,25.0,49.0,69.0,80.0,800.0,267.0,3.5168539325842696,9.84516868601185,1.0,1.0,1.0,2.0,100.0,267.0,32.838951310861425,42.675470358564155,1.0,5.0,17.0,47.0,229.0,267.0,2.1728464419475664,1.7666869685239464,0.06,0.72,1.83,3.25,9.12,267.0,4.53932584269663,5.550295351706232,1.0,1.0,3.0,6.0,28.0,267.0,197.67415730337078,135.21023245754475,1.0,66.0,196.0,341.0,365.0
Queens,Entire home/apt,1342.0,21359327.7414307,10453679.378917621,45910.0,14070745.0,22344339.0,30371219.25,36280646.0,1342.0,94911339.8494784,85228383.80389716,3647.0,16600673.25,69397040.5,157336053.25,272872092.0,1342.0,40.72420686289123,0.04711387415482618,40.569309999999994,40.702435,40.741515,40.758115000000004,40.79721,1342.0,-73.86379122950837,0.06016256088088298,-73.95640999999999,-73.914895,-73.87953999999999,-73.814565,-73.72582,1342.0,145.3748137108793,105.91416074919422,16.0,95.0,120.0,174.75,2600.0,1342.0,4.608047690014903,15.286862590099066,1.0,1.0,2.0,3.0,500.0,1342.0,42.09090909090909,54.06245807326811,1.0,6.0,22.0,58.0,441.0,1342.0,2.393867362146053,2.1114559209659802,0.01,0.83,1.98,3.3949999999999996,15.78,1342.0,1.8524590163934427,1.9422664262220823,1.0,1.0,1.0,2.0,15.0,1342.0,180.49701937406854,120.20050824976978,1.0,66.25,167.0,302.0,365.0
Queens,Private room,2157.0,21469944.755679183,10110158.294016104,12937.0,14450837.0,22734514.0,29989586.0,36427429.0,2157.0,102816690.1418637,82419406.10872357,3211.0,26377263.0,83542652.0,169940010.0,271867677.0,2157.0,40.73137794622165,0.039512861518982104,40.56568,40.70577,40.74481,40.75902,40.79511,2157.0,-73.86570795549369,0.057254938707039245,-73.95926999999999,-73.91314,-73.87995,-73.8223,-73.71299,2157.0,66.17014371812702,41.01456004906426,25.0,48.0,59.0,75.0,900.0,2157.0,4.022716736207696,7.747160796583923,1.0,1.0,2.0,3.0,90.0,2157.0,39.259156235512286,62.41015855117179,1.0,5.0,17.0,49.0,629.0,2157.0,2.226731571627265,2.394811109323936,0.01,0.58,1.54,3.0,20.94,2157.0,4.852109411219286,12.818698347340838,1.0,1.0,2.0,4.0,103.0,2157.0,192.336578581363,124.27418524663594,1.0,80.0,177.0,323.0,365.0
Queens,Shared room,132.0,25348266.21969697,9208013.495433325,391948.0,20405052.5,28155914.0,32957411.25,36101190.0,132.0,121273402.67424242,89969120.56772867,1888085.0,31307789.0,131463567.0,215778245.0,264296595.0,132.0,40.734090530303014,0.02811701675168124,40.66684,40.717929999999996,40.741005,40.75253,40.779709999999994,132.0,-73.87229507575762,0.048663925734913266,-73.94628,-73.91653500000001,-73.870225,-73.8392875,-73.71928,132.0,66.56060606060606,189.8602241013453,15.0,30.0,35.0,45.0,1800.0,132.0,3.5303030303030303,6.924278995110483,1.0,1.0,1.0,3.0,31.0,132.0,19.71969696969697,46.80955640571528,1.0,2.0,8.0,19.0,454.0,132.0,1.6940151515151516,1.8588927426767556,0.02,0.4725,1.0,2.2675,10.6,132.0,4.3106060606060606,3.1163998012915006,1.0,2.0,4.0,6.0,18.0,132.0,230.87878787878788,135.092958117256,1.0,90.0,309.0,356.5,365.0
